substage,run_id,recipe,split,step,n_pairs,phase_train_n_pairs,accuracy,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2800,2,"1,2",0.94140625,0.23817333579063416,0.125,2.0794415416798357,1.9407831812456204,0.001,99.60745406150818,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2900,1,"1,2",1.0,0.0002492777712177485,0.125,2.0794415416798357,0.0021740761004073075,0.001,102.68116283416748,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3000,1,"1,2",1.0,0.0002988381602335721,0.125,2.0794415416798357,0.007551184672940508,0.001,105.79377245903015,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,3000,1,"1,2",1.0,0.00030108579539955826,0.125,2.0794415416798357,,0.001,112.45909142494202,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,3000,2,"1,2",0.95703125,0.10174095502588898,0.125,2.0794415416798357,,0.001,112.45909929275513,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,3000,4,"1,2",0.3480224609375,4.8424297869205475,0.125,2.0794415416798357,,0.001,112.45910143852234,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,3000,8,"1,2",0.2318115234375,5.375023931264877,0.125,2.0794415416798357,,0.001,112.45910358428955,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3100,2,"1,2",0.96484375,0.12978442013263702,0.125,2.0794415416798357,1.7032625780750985,0.001,115.6091513633728,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3200,1,"1,2",1.0,8.792988955974579e-05,0.125,2.0794415416798357,0.0009709519118070899,0.001,118.73004913330078,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3300,1,"1,2",1.0,0.00017025810666382313,0.125,2.0794415416798357,0.001275373503554891,0.001,121.82269167900085,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3400,1,"1,2",1.0,0.00033424084540456533,0.125,2.0794415416798357,0.003515365581992483,0.001,124.92717957496643,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3500,1,"1,2",1.0,0.00046717043733224273,0.125,2.0794415416798357,0.017075437855410148,0.001,128.16581511497498,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3600,1,"1,2",1.0,0.00012265237455721945,0.125,2.0794415416798357,0.0017429473405253001,0.001,131.2158179283142,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3700,2,"1,2",0.98828125,0.02852983959019184,0.125,2.0794415416798357,3.6706091408996837,0.001,134.27044200897217,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3800,1,"1,2",1.0,0.0004449597327038646,0.125,2.0794415416798357,0.09029048676942833,0.001,137.38186764717102,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,3900,2,"1,2",1.0,0.004767985083162785,0.125,2.0794415416798357,0.33204830862689033,0.001,140.6185643672943,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4000,1,"1,2",1.0,0.00020998310355935246,0.125,2.0794415416798357,0.008163143108096004,0.001,143.74429965019226,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,4000,1,"1,2",1.0,0.00023704262048340752,0.125,2.0794415416798357,,0.001,151.5505599975586,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,4000,2,"1,2",0.9898681640625,0.03365498154016677,0.125,2.0794415416798357,,0.001,151.55057096481323,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,4000,4,"1,2",0.350341796875,5.803632751107216,0.125,2.0794415416798357,,0.001,151.55057454109192,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,4000,8,"1,2",0.23291015625,6.695052325725555,0.125,2.0794415416798357,,0.001,151.55057740211487,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4100,2,"1,2",1.0,0.00217590038664639,0.125,2.0794415416798357,0.03503119164350994,0.001,155.08077263832092,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4200,2,"1,2",0.99609375,0.01024274155497551,0.125,2.0794415416798357,0.1462240019606873,0.001,158.413409948349,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4300,2,"1,2",0.828125,2.0563924312591553,0.125,2.0794415416798357,15.512568955993599,0.001,161.53254675865173,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4400,1,"1,2",1.0,7.678604015382007e-05,0.125,2.0794415416798357,0.0016183549056537044,0.001,164.74174070358276,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4500,2,"1,2",1.0,0.0010743271559476852,0.125,2.0794415416798357,0.011769431837647108,0.001,167.89405012130737,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4600,2,"1,2",0.99609375,0.012597841210663319,0.125,2.0794415416798357,0.1058110194209705,0.001,171.111510515213,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4700,2,"1,2",1.0,0.00245293858461082,0.125,2.0794415416798357,0.091689712897217,0.001,174.35124325752258,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4800,2,"1,2",1.0,0.0009227307164110243,0.125,2.0794415416798357,0.01681531571054448,0.001,177.50726103782654,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,4900,1,"1,2",1.0,9.1762649390148e-06,0.125,2.0794415416798357,8.880838092481286e-05,0.001,180.67201900482178,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,5000,2,"1,2",1.0,0.0006898728897795081,0.125,2.0794415416798357,0.13164619634888308,0.001,183.9206793308258,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,5000,1,"1,2",1.0,2.2239745646857045e-05,0.125,2.0794415416798357,,0.001,190.91789531707764,ok
