substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2100,1,capped,8,"1,2",1.0,1.0,8.986203465610743e-05,0.125,2.0794415416798357,0.0006203220944057598,0.001,79.47657918930054,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2200,2,capped,8,"1,2",0.8020833730697632,0.6041666666666666,0.30547985434532166,0.125,2.0794415416798357,0.24937441679052522,0.001,82.10784673690796,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2300,2,capped,8,"1,2",0.7682291865348816,0.5364583333333334,0.31902217864990234,0.125,2.0794415416798357,0.4488584595774198,0.001,84.74196553230286,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2400,1,capped,8,"1,2",1.0,1.0,7.082006777636707e-05,0.125,2.0794415416798357,0.00048096580624284,0.001,87.38705086708069,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2500,1,capped,8,"1,2",1.0,1.0,6.640896754106507e-05,0.125,2.0794415416798357,0.0004325761091693881,0.001,90.08740997314453,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2600,2,capped,8,"1,2",0.7578125,0.515625,0.32627302408218384,0.125,2.0794415416798357,0.7048384327687058,0.001,92.7896990776062,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2700,1,capped,8,"1,2",1.0,1.0,5.221895480644889e-05,0.125,2.0794415416798357,0.00035531552034004615,0.001,95.43570923805237,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2800,1,capped,8,"1,2",1.0,1.0,5.673135456163436e-05,0.125,2.0794415416798357,0.0003710724462998664,0.001,98.13098478317261,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2900,2,capped,8,"1,2",0.8125,0.625,0.3113165497779846,0.125,2.0794415416798357,0.3625926259430324,0.001,100.87593364715576,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3000,1,capped,8,"1,2",1.0,1.0,4.479058043216355e-05,0.125,2.0794415416798357,0.00029273475016900537,0.001,103.58018279075623,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,3000,1,capped,8,"1,2",1.0,1.0,4.560192328995072e-05,0.125,2.0794415416798357,,0.001,114.78669309616089,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,3000,2,capped,8,"1,2",0.7774658366106451,0.554931640625,0.31178622087463737,0.125,2.0794415416798357,,0.001,114.78669905662537,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,3000,4,capped,8,"1,2",0.3192443938460201,0.0020751953125,3.2960539739578962,0.125,2.0794415416798357,,0.001,114.78670263290405,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,3000,8,capped,8,"1,2",0.20922851946670562,0.0,3.1552474070340395,0.125,2.0794415416798357,,0.001,114.78670692443848,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,3000,1,single,1,"1,2",1.0,1.0,4.535986093401334e-05,0.125,2.0794415416798357,,0.001,114.78671097755432,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,3000,2,single,1,"1,2",0.5531006068922579,0.5531005859375,0.6258631492964923,0.125,2.0794415416798357,,0.001,114.7867157459259,ok
